time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,18,7,0,0
2026-05-26 00:00:00+00:00,22,10,0,0
2026-05-27 00:00:00+00:00,12,5,0,0
2026-05-28 00:00:00+00:00,22,9,2,1
2026-05-29 00:00:00+00:00,21,10,0,0
2026-05-30 00:00:00+00:00,31,12,0,0
2026-05-31 00:00:00+00:00,9,5,0,0
2026-06-01 00:00:00+00:00,12,5,1,1
2026-06-02 00:00:00+00:00,3,3,0,0
2026-06-03 00:00:00+00:00,31,11,0,0
2026-06-04 00:00:00+00:00,34,16,2,1
2026-06-05 00:00:00+00:00,21,10,0,0
2026-06-06 00:00:00+00:00,22,8,0,0
2026-06-07 00:00:00+00:00,33,13,2,1
