time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-02 00:00:00+00:00,15,9,0,0
2026-02-03 00:00:00+00:00,12,6,0,0
2026-02-04 00:00:00+00:00,7,5,0,0
2026-02-05 00:00:00+00:00,4,4,0,0
2026-02-06 00:00:00+00:00,14,10,0,0
2026-02-07 00:00:00+00:00,8,4,0,0
2026-02-08 00:00:00+00:00,23,12,0,0
2026-02-09 00:00:00+00:00,12,6,1,1
2026-02-10 00:00:00+00:00,6,4,0,0
2026-02-11 00:00:00+00:00,15,8,1,1
2026-02-12 00:00:00+00:00,23,10,0,0
2026-02-13 00:00:00+00:00,32,15,0,0
2026-02-14 00:00:00+00:00,23,11,0,0
2026-02-15 00:00:00+00:00,10,5,0,0
