url_path,views_total,views_unique
/luarss/awesome-conference-dates,9,2
/luarss/awesome-conference-dates/actions/runs/12758307627,4,1
/luarss/awesome-conference-dates/actions/runs/12758307627/job/35560341104,4,1
/luarss/awesome-conference-dates/tree/main/.github/workflows,4,1
/luarss/awesome-conference-dates/actions,3,2
/luarss/awesome-conference-dates/blob/main/.github/workflows/auto.yaml,3,1
/luarss/awesome-conference-dates/actions/runs/12760072586/job/35564906284,2,1
/luarss/awesome-conference-dates/blob/main/.github/workflows/repostats.yaml,2,1
/luarss/awesome-conference-dates/blob/main/parse_ai_deadlines.py,2,1
/luarss/awesome-conference-dates/commit/6d5f05a1edc5ea24be845e9f04de9223a809a8b6,2,1
