time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,3,3,0,0
2026-09-04 00:00:00+00:00,9,7,0,0
2026-09-05 00:00:00+00:00,12,12,0,0
2026-09-06 00:00:00+00:00,11,7,0,0
2026-09-07 00:00:00+00:00,13,7,0,0
2026-09-08 00:00:00+00:00,19,10,0,0
2026-09-09 00:00:00+00:00,5,4,2,1
2026-09-10 00:00:00+00:00,18,17,0,0
2026-09-11 00:00:00+00:00,16,16,0,0
2026-09-12 00:00:00+00:00,4,4,0,0
2026-09-13 00:00:00+00:00,31,16,1,1
2026-09-14 00:00:00+00:00,13,9,0,0
2026-09-15 00:00:00+00:00,9,8,0,0
2026-09-16 00:00:00+00:00,8,7,1,1
