time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,18,17,0,0
2026-09-11 00:00:00+00:00,16,16,0,0
2026-09-12 00:00:00+00:00,4,4,0,0
2026-09-13 00:00:00+00:00,31,16,1,1
2026-09-14 00:00:00+00:00,13,9,0,0
2026-09-15 00:00:00+00:00,9,8,0,0
2026-09-16 00:00:00+00:00,8,7,1,1
2026-09-17 00:00:00+00:00,17,7,2,1
2026-09-18 00:00:00+00:00,16,10,0,0
2026-09-19 00:00:00+00:00,24,13,0,0
2026-09-20 00:00:00+00:00,17,11,0,0
2026-09-21 00:00:00+00:00,4,4,1,1
2026-09-22 00:00:00+00:00,11,7,0,0
2026-09-23 00:00:00+00:00,12,8,0,0
