time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-30 00:00:00+00:00,4,4,,
2025-12-01 00:00:00+00:00,62,19,,
2025-12-02 00:00:00+00:00,40,11,,
2025-12-03 00:00:00+00:00,133,32,,
2025-12-04 00:00:00+00:00,8,4,,
2025-12-05 00:00:00+00:00,7,7,,
2025-12-06 00:00:00+00:00,13,9,,
2025-12-07 00:00:00+00:00,8,4,2.0,1.0
2025-12-08 00:00:00+00:00,10,6,,
2025-12-09 00:00:00+00:00,8,8,3.0,3.0
2025-12-10 00:00:00+00:00,4,4,,
2025-12-11 00:00:00+00:00,8,4,2.0,1.0
2025-12-12 00:00:00+00:00,4,4,,
2025-12-13 00:00:00+00:00,1,1,,
