time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,6,4,0,0
2026-02-11 00:00:00+00:00,15,8,1,1
2026-02-12 00:00:00+00:00,23,10,0,0
2026-02-13 00:00:00+00:00,32,15,0,0
2026-02-14 00:00:00+00:00,23,11,0,0
2026-02-15 00:00:00+00:00,10,5,0,0
2026-02-16 00:00:00+00:00,7,5,0,0
2026-02-17 00:00:00+00:00,8,6,0,0
2026-02-18 00:00:00+00:00,16,10,0,0
2026-02-19 00:00:00+00:00,12,6,1,1
2026-02-20 00:00:00+00:00,13,9,0,0
2026-02-21 00:00:00+00:00,18,8,0,0
2026-02-22 00:00:00+00:00,11,5,1,1
2026-02-23 00:00:00+00:00,13,7,0,0
