time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,41,10,2,2
2026-05-02 00:00:00+00:00,30,10,0,0
2026-05-03 00:00:00+00:00,36,11,0,0
2026-05-04 00:00:00+00:00,19,8,0,0
2026-05-05 00:00:00+00:00,37,13,0,0
2026-05-06 00:00:00+00:00,35,12,0,0
2026-05-07 00:00:00+00:00,17,6,0,0
2026-05-08 00:00:00+00:00,40,13,1,1
2026-05-09 00:00:00+00:00,17,8,0,0
2026-05-10 00:00:00+00:00,20,10,0,0
2026-05-11 00:00:00+00:00,25,8,0,0
2026-05-12 00:00:00+00:00,10,5,2,2
2026-05-13 00:00:00+00:00,16,5,0,0
2026-05-14 00:00:00+00:00,12,7,0,0
