time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-08 00:00:00+00:00,40,13,1,1
2026-05-09 00:00:00+00:00,17,8,0,0
2026-05-10 00:00:00+00:00,20,10,0,0
2026-05-11 00:00:00+00:00,25,8,0,0
2026-05-12 00:00:00+00:00,10,5,2,2
2026-05-13 00:00:00+00:00,16,5,0,0
2026-05-14 00:00:00+00:00,12,7,0,0
2026-05-15 00:00:00+00:00,3,3,0,0
2026-05-16 00:00:00+00:00,36,11,27,27
2026-05-17 00:00:00+00:00,31,10,0,0
2026-05-18 00:00:00+00:00,29,12,0,0
2026-05-19 00:00:00+00:00,43,21,8,2
2026-05-20 00:00:00+00:00,22,11,5,1
2026-05-21 00:00:00+00:00,30,15,0,0
