time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,11,7,7,7
2026-08-15 00:00:00+00:00,248,244,4,2
2026-08-16 00:00:00+00:00,24,11,0,0
2026-08-17 00:00:00+00:00,17,8,0,0
2026-08-18 00:00:00+00:00,23,19,0,0
2026-08-19 00:00:00+00:00,19,13,0,0
2026-08-20 00:00:00+00:00,7,5,0,0
2026-08-21 00:00:00+00:00,9,7,0,0
2026-08-22 00:00:00+00:00,17,9,0,0
2026-08-23 00:00:00+00:00,15,10,0,0
2026-08-24 00:00:00+00:00,9,6,0,0
2026-08-25 00:00:00+00:00,2,2,1,1
2026-08-26 00:00:00+00:00,8,5,5,3
2026-08-27 00:00:00+00:00,2,2,0,0
