time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,25,11,0,0
2026-06-30 00:00:00+00:00,16,8,1,1
2026-07-01 00:00:00+00:00,17,8,0,0
2026-07-02 00:00:00+00:00,12,8,0,0
2026-07-03 00:00:00+00:00,16,7,0,0
2026-07-04 00:00:00+00:00,15,6,0,0
2026-07-05 00:00:00+00:00,26,13,0,0
2026-07-06 00:00:00+00:00,20,10,0,0
2026-07-07 00:00:00+00:00,38,14,0,0
2026-07-08 00:00:00+00:00,14,7,0,0
2026-07-09 00:00:00+00:00,4,4,0,0
2026-07-10 00:00:00+00:00,3,3,0,0
2026-07-11 00:00:00+00:00,18,8,0,0
2026-07-12 00:00:00+00:00,3,3,2,2
