url_path,views_total,views_unique
/luarss/awesome-conference-dates,8,2
/luarss/awesome-conference-dates/actions/runs/12758307627,4,1
/luarss/awesome-conference-dates/actions/runs/12758307627/job/35560341104,4,1
/luarss/awesome-conference-dates/actions,3,2
/luarss/awesome-conference-dates/actions/runs/12760072586/job/35564906284,2,1
/luarss/awesome-conference-dates/blob/main/.github/workflows/auto.yaml,2,1
/luarss/awesome-conference-dates/tree/main/.github/workflows,2,1
/luarss/awesome-conference-dates/actions/runs/12758307627/job/35560201101,1,1
/luarss/awesome-conference-dates/actions/runs/12760072586,1,1
/luarss/awesome-conference-dates/actions/workflows/auto.yaml,1,1
