time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-27 00:00:00+00:00,7,4,0,0
2026-07-28 00:00:00+00:00,18,9,0,0
2026-07-29 00:00:00+00:00,37,12,9,2
2026-07-30 00:00:00+00:00,10,5,5,2
2026-07-31 00:00:00+00:00,9,6,0,0
2026-08-01 00:00:00+00:00,28,10,0,0
2026-08-02 00:00:00+00:00,14,10,0,0
2026-08-03 00:00:00+00:00,3,3,2,2
2026-08-04 00:00:00+00:00,15,7,0,0
2026-08-05 00:00:00+00:00,13,8,0,0
2026-08-06 00:00:00+00:00,6,6,0,0
2026-08-07 00:00:00+00:00,9,4,1,1
2026-08-08 00:00:00+00:00,25,13,0,0
2026-08-09 00:00:00+00:00,10,5,0,0
